salary,emp_no
60117,10001
65828,10002
40006,10003
40054,10004
78228,10005
40000,10006
56724,10007
46671,10008
60929,10009
72488,10010
42365,10011
40000,10012
40000,10013
46168,10014
40000,10015
70889,10016
71380,10017
55881,10018
44276,10019
40000,10020
55025,10021
40000,10022
47883,10023
83733,10024
40000,10025
47585,10026
40000,10027
48859,10028
63163,10029
66956,10030
40000,10031
48426,10032
51258,10033
47561,10034
41538,10035
42819,10036
40000,10037
40000,10038
40000,10039
52153,10040
56893,10041
81662,10042
49324,10043
40919,10044
41971,10045
40000,10046
54982,10047
40000,10048
40000,10049
74366,10050
48817,10051
57212,10052
67854,10053
40000,10054
80024,10055
48857,10056
49616,10057
52787,10058
71218,10059
74686,10060
68577,10061
55685,10062
40000,10063
40000,10064
40000,10065
69736,10066
44642,10067
87964,10068
67932,10069
55999,10070
40000,10071
40000,10072
56473,10073
61714,10074
43815,10075
47319,10076
40000,10077
47280,10078
53492,10079
54916,10080
55786,10081
48935,10082
40000,10083
69811,10084
40000,10085
81613,10086
96750,10087
65957,10088
56469,10089
44978,10090
40000,10091
53977,10092
67856,10093
58001,10094
63668,10095
61395,10096
44886,10097
40000,10098
68781,10099
54398,10100
66591,10101
44380,10102
68158,10103
45312,10104
59258,10105
62928,10106
93159,10107
40000,10108
40000,10109
46836,10110
40000,10111
49500,10112
69856,10113
49593,10114
40000,10115
44034,10116
52284,10117
40000,10118
53551,10119
46292,10120
43772,10121
42284,10122
71524,10123
40583,10124
58249,10125
40000,10126
40000,10127
40000,10128
40000,10129
40000,10130
48475,10131
61590,10132
40000,10133
40000,10134
40000,10135
82420,10136
40000,10137
53574,10138
40000,10139
61352,10140
62907,10141
40000,10142
40000,10143
56720,10144
47612,10145
60394,10146
40000,10147
63021,10148
88740,10149
70122,10150
90741,10151
40000,10152
54246,10153
40000,10154
40040,10155
49879,10156
48770,10157
40725,10158
52881,10159
91622,10160
43149,10161
40000,10162
41603,10163
52043,10164
43991,10165
51586,10166
56990,10167
51818,10168
70303,10169
47183,10170
41311,10171
41197,10172
85757,10173
59520,10174
72285,10175
54635,10176
48041,10177
50568,10178
40000,10179
52444,10180
40000,10181
40380,10182
40000,10183
48586,10184
68334,10185
40000,10186
71454,10187
62365,10188
41222,10189
40000,10190
40000,10191
40000,10192
48733,10193
64941,10194
40000,10195
86671,10196
40000,10197
44076,10198
42042,10199
46879,10200
40000,10201
47338,10202
40000,10203
40000,10204
40000,10205
40000,10206
52783,10207
61890,10208
57996,10209
40000,10210
49032,10211
65938,10212
40000,10213
58341,10214
43944,10215
40000,10216
40000,10217
40788,10218
40000,10219
58883,10220
57821,10221
40000,10222
62922,10223
40000,10224
40000,10225
79456,10226
53497,10227
79474,10228
58321,10229
47531,10230
40000,10231
89606,10232
40000,10233
84584,10234
41941,10235
80469,10236
100715,10237
52764,10238
65146,10239
73874,10240
40000,10241
40000,10242
59332,10243
56292,10244
40000,10245
40000,10246
40000,10247
58918,10248
72192,10249
50330,10250
61743,10251
40000,10252
62494,10253
60222,10254
63822,10255
71305,10256
40000,10257
66280,10258
88991,10259
60879,10260
40000,10261
63005,10262
67883,10263
60522,10264
46382,10265
47093,10266
40000,10267
41017,10268
40000,10269
42081,10270
53680,10271
58070,10272
75148,10273
86164,10274
40000,10275
40000,10276
59534,10277
51703,10278
40000,10279
66695,10280
46123,10281
40000,10282
40000,10283
40000,10284
62075,10285
40000,10286
55732,10287
80474,10288
40000,10289
44274,10290
57430,10291
78370,10292
44200,10293
66448,10294
46398,10295
77788,10296
63061,10297
40000,10298
76484,10299
72504,10300
40000,10301
58239,10302
40000,10303
106905,10304
52550,10305
44229,10306
40000,10307
59715,10308
53031,10309
42894,10310
40000,10311
56705,10312
60589,10313
51939,10314
60494,10315
40000,10316
51129,10317
73259,10318
84162,10319
58483,10320
86819,10321
41968,10322
40000,10323
67499,10324
44325,10325
40000,10326
54734,10327
46286,10328
51664,10329
86545,10330
55800,10331
52133,10332
45141,10333
40000,10334
52633,10335
63248,10336
56061,10337
40000,10338
40000,10339
68132,10340
40000,10341
40000,10342
40000,10343
53087,10344
66930,10345
78088,10346
42199,10347
40000,10348
47518,10349
41213,10350
40000,10351
40000,10352
62656,10353
60762,10354
70434,10355
45376,10356
40000,10357
63243,10358
40000,10359
40000,10360
64213,10361
40000,10362
40401,10363
51401,10364
45523,10365
47229,10366
63565,10367
42463,10368
47236,10369
40010,10370
61475,10371
54505,10372
53305,10373
69568,10374
93329,10375
42634,10376
40000,10377
75311,10378
40000,10379
76387,10380
78510,10381
45785,10382
47452,10383
43270,10384
40000,10385
53367,10386
61374,10387
62545,10388
55548,10389
40000,10390
56655,10391
50962,10392
40000,10393
40000,10394
42774,10395
40393,10396
40529,10397
54156,10398
97010,10399
63746,10400
40000,10401
40000,10402
83609,10403
51647,10404
40000,10405
40000,10406
62565,10407
76369,10408
64363,10409
46546,10410
66415,10411
